[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000355s ]
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.002175s ]
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | SQL: SHOW COLUMNS FROM `czxy_roleadmin` [ RunTime:0.002408s ]
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | SQL: SELECT COUNT(*) AS tp_count FROM czxy_roleadmin a LEFT JOIN czxy_rolepri b ON b.rid=a.rid
                LEFT JOIN czxy_privilege c ON b.pid=c.id  WHERE ( a.aid = '3' ) AND ( c.modulename = 'Admin' ) AND ( c.controllername = 'Admin' ) AND ( c.actionname = 'myask' ) LIMIT 1   [ RunTime:0.000489s ]
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | SQL: SHOW COLUMNS FROM `czxy_admin` [ RunTime:0.003421s ]
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | SQL: SELECT `myask` FROM `czxy_admin` WHERE ( `id` = '3' ) LIMIT 1   [ RunTime:0.000375s ]
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | INFO: Tag[ view_template ] --START--
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | INFO: Run LocationTemplate Behavior [ RunTime:0.000347s ]
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | INFO: Tag[ view_template ] --END-- [ RunTime:0.000414s ]
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | INFO: Tag[ view_parse ] --START--
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-27T10:44:37+08:00 ] /health/admin.php/Admin/myask | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
